<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://www.w3.org/2002/07/owl#sameAs>	<http://ceb.dbpedia.org/resource/Napoleon_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ckb.dbpedia.org/resource/ناپۆلیۆن_بۆناپارت>
<http://www.w3.org/2002/07/owl#sameAs>	<http://cv.dbpedia.org/resource/Наполеон_I_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://cy.dbpedia.org/resource/Napoleon_I,_ymerawdwr_Ffrainc>
<http://www.w3.org/2002/07/owl#sameAs>	<http://da.dbpedia.org/resource/Napoleon_1._af_Frankrig>
<http://www.w3.org/2002/07/owl#sameAs>	<http://eo.dbpedia.org/resource/Napoleono_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://et.dbpedia.org/resource/Napoleon_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fa.dbpedia.org/resource/ناپلئون_بناپارت>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fi.dbpedia.org/resource/Napoleon_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fy.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ga.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://gd.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://gl.dbpedia.org/resource/Napoleón_I_de_Francia>
<http://www.w3.org/2002/07/owl#sameAs>	<http://he.dbpedia.org/resource/נפוליאון_בונפרטה>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hi.dbpedia.org/resource/नेपोलियन_बोनापार्ट>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hr.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hu.dbpedia.org/resource/I._Napóleon_francia_császár>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hy.dbpedia.org/resource/Նապոլեոն_Բոնապարտ>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ia.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://io.dbpedia.org/resource/Napoléon_1ma>
<http://www.w3.org/2002/07/owl#sameAs>	<http://is.dbpedia.org/resource/Napóleon_Bónaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://jv.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ka.dbpedia.org/resource/ნაპოლეონ_ბონაპარტი>
<http://www.w3.org/2002/07/owl#sameAs>	<http://kn.dbpedia.org/resource/ನೆಪೋಲಿಯನ್_ಬೋನಪಾರ್ತ್>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ku.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ky.dbpedia.org/resource/Наполеон_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://la.dbpedia.org/resource/Napoleo_I_(imperator_Franciae)>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lb.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lmo.dbpedia.org/resource/Napoleon_Bonapart>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lt.dbpedia.org/resource/Napoleonas_Bonapartas>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lv.dbpedia.org/resource/Napoleons_Bonaparts>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mg.dbpedia.org/resource/Napoleon>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mk.dbpedia.org/resource/Наполеон_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ml.dbpedia.org/resource/നെപ്പോളിയൻ_ബോണപ്പാർട്ട്>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mn.dbpedia.org/resource/Наполеон_I_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mr.dbpedia.org/resource/नेपोलियन_बोनापार्ट>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ms.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://my.dbpedia.org/resource/နပိုလီယန်>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mzn.dbpedia.org/resource/ناپلئون>
