SELECT * WHERE 
{ 
	<http://dbpedia.org/resource/University_of_Glasgow> ?x ?y.
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Henry_Campbell-Bannerman>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Biffy_Clyro>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Simon_Neil>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Glasgow>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Clydesdale_Bank>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Joseph_Lister,_1st_Baron_Lister>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Public_university>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Undergraduate_education>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Student_society>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Students'_union>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Peter_Capaldi>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Banknotes_of_the_pound_sterling>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/William_Ewart_Gladstone>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Rector_(academia)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_St_Andrews>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Rob_Roy_MacGregor>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Postgraduate_education>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Durham_University>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Vocational_education>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Durham>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Benjamin_Disraeli>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Chancellor_(education)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Liam_Fox>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Sir_Walter_Scott>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Funeral>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Vice-Chancellor>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Mordechai_Vanunu>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Edward_Snowden>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Ypres>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Postgraduate>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Robert_Peel>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Secretary_of_State_for_Business,_Innovation_and_Skills>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Life_sciences>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Charles_Kennedy>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/River_Clyde>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/QS_World_University_Rankings>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Jacobite_risings>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Franz_Ferdinand_(band)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Robbie_Coltrane>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Bonar_Law>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Menzies_Campbell>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/John_James_Burnet>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Quadrangle_(architecture)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Whistleblower>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Arthur_Balfour>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Undergraduate>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Observatory>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Russell_Group>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Jocelyn_Bell_Burnell>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Universities_in_the_United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Colin_Maclaurin>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Ancient_university>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/List_of_oldest_universities_in_continuous_operation>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/List_of_medieval_universities>
